Outcome,Star,Avg. Star,Clique,Num
2,4,6.25,8,29
2,3,5.0,23,35
2,8,6.125,9,50
2,13,7.230769230769231,13,94
1,2,5.0,5,13
2,12,7.083333333333333,21,94
2,4,6.5,17,39
2,10,7.6,18,84
2,8,7.25,11,61
2,2,6.0,12,22
2,3,8.666666666666666,23,46
2,2,8.0,3,17
2,3,6.666666666666667,3,20
2,6,6.666666666666667,26,60
2,13,5.6923076923076925,19,80
2,4,7.5,9,35
2,15,6.333333333333333,23,103
2,8,6.375,21,64
2,9,8.444444444444445,29,96
2,3,6.333333333333333,3,19
2,20,7.4,21,149
2,25,6.84,27,173
2,12,7.166666666666667,21,95
2,24,6.916666666666667,29,170
2,11,6.636363636363637,28,90
2,12,6.916666666666667,17,88
2,11,6.545454545454546,12,73
2,3,6.333333333333333,29,45
2,9,7.555555555555555,9,68
2,27,6.111111111111111,29,167
2,16,5.6875,16,91
2,16,6.625,28,118
2,3,4.666666666666667,21,32
2,13,7.0,17,95
2,11,7.090909090909091,16,83
2,9,6.0,13,58
2,18,6.666666666666667,25,126
2,7,7.571428571428571,11,57
2,7,7.285714285714286,16,60
2,17,6.352941176470588,19,110
2,24,6.208333333333333,26,151
1,1,4.0,3,6
2,9,8.11111111111111,21,85
2,5,8.2,11,47
2,2,4.5,3,10
2,11,7.2727272727272725,16,85
2,8,6.25,11,53
2,3,5.333333333333333,19,32
2,1,3.0,11,13
2,18,7.111111111111111,29,138
2,15,6.133333333333334,26,102
2,5,7.6,10,43
2,23,6.3478260869565215,28,151
1,2,9.0,13,29
2,13,6.6923076923076925,16,90
2,6,6.0,12,42
2,3,7.666666666666667,6,26
2,1,4.0,22,25
2,2,4.5,3,10
2,5,7.0,11,41
2,2,5.5,5,14
2,8,6.125,16,57
2,12,6.666666666666667,18,86
2,3,6.666666666666667,5,22
2,1,4.0,13,16
2,10,6.8,29,87
2,8,7.125,17,66
2,1,3.0,13,15
2,5,6.8,26,55
2,22,5.818181818181818,27,133
2,7,5.714285714285714,17,50
2,5,5.6,5,28
2,5,5.8,13,37
2,27,5.925925925925926,29,162
2,4,8.25,25,54
2,2,6.5,10,21
2,22,6.909090909090909,27,157
2,23,6.565217391304348,26,153
1,1,9.0,21,29
2,2,6.0,20,30
2,4,7.25,7,32
2,8,6.25,22,64
2,11,6.909090909090909,23,88
2,1,4.0,8,11
2,7,7.0,8,50
2,2,4.5,5,12
2,12,7.083333333333333,17,90
2,4,7.0,9,33
2,20,6.7,24,138
2,2,4.0,3,9
2,5,5.6,29,52
2,5,6.8,5,34
2,4,7.0,12,36
1,2,5.5,18,27
2,3,7.333333333333333,3,22
2,23,6.304347826086956,24,146
2,11,6.2727272727272725,20,78
2,10,6.0,27,77
2,12,6.416666666666667,23,88
2,13,5.615384615384615,29,89
2,13,5.769230769230769,29,91
2,3,7.666666666666667,16,36
2,3,7.0,3,21
2,5,9.2,5,46
2,22,5.818181818181818,25,131
2,14,7.071428571428571,18,103
2,9,6.444444444444445,12,61
2,4,5.5,4,22
2,7,6.0,10,45
2,9,6.777777777777778,11,63
2,12,5.833333333333333,13,71
2,11,6.454545454545454,18,78
2,10,6.4,13,67
2,5,7.2,27,58
2,19,5.684210526315789,22,111
2,9,6.0,16,61
2,9,5.666666666666667,24,66
2,3,6.0,12,27
2,13,7.153846153846154,19,99
2,4,7.25,9,34
2,18,7.222222222222222,21,133
2,20,6.45,21,129
2,5,6.4,13,40
2,3,6.666666666666667,24,41
2,1,7.0,8,14
2,6,7.5,21,60
2,12,6.75,19,88
2,10,5.3,24,67
2,3,5.0,13,25
2,14,7.357142857142857,26,115
2,15,5.333333333333333,15,80
2,3,6.333333333333333,24,40
2,16,7.25,29,129
2,2,6.0,6,16
1,1,10.0,18,27
2,15,6.0,26,101
2,8,6.0,17,57
2,3,6.333333333333333,4,20
2,3,5.0,3,15
2,4,7.25,19,44
2,19,6.0,24,118
2,17,7.0588235294117645,17,120
2,9,6.0,24,69
2,4,5.75,6,25
2,15,7.133333333333334,27,119
2,14,6.142857142857143,15,87
2,14,5.714285714285714,19,85
2,6,6.166666666666667,6,37
2,8,6.375,10,53
2,2,4.5,27,34
2,23,5.826086956521739,25,135
2,4,8.0,18,46
2,15,6.533333333333333,21,104
2,9,5.888888888888889,17,61
2,2,9.0,14,30
2,11,6.545454545454546,26,87
